r_i_docking_score,ZINC_ID
-6.7,ZINC000042862598
-6.9,ZINC000069922704
-6.4,ZINC000078341897
-7.1,ZINC000080286957
-7.3,ZINC000092655865
-7.7,ZINC000092696349
-6.9,ZINC000092805708
-6.5,ZINC000136348230
-7.1,ZINC000136373865
-6.2,ZINC000152860349
-5.9,ZINC000153158281
-6.6,ZINC000156994179
-7.2,ZINC000183824983
-6.8,ZINC000183903057
-5.9,ZINC000245874727
-6.9,ZINC000246141732
-7.1,ZINC000246141746
-7.1,ZINC000248234769
-6.5,ZINC000279942797
-6.5,ZINC000280352379
-6.7,ZINC000280381284
-6.5,ZINC000280381285
-6.6,ZINC000280412556
-6.8,ZINC000280412560
-6.5,ZINC000280884890
-6.4,ZINC000281466022
-6.8,ZINC000281911866
-6.2,ZINC000282190807
-6.1,ZINC000282865318
-6.8,ZINC000283657137
-6.5,ZINC000284317762
-6.6,ZINC000428463761
-6.5,ZINC000429277980
-5.6,ZINC000429331503
-6.3,ZINC000430970720
-6.5,ZINC000455677731
-6.2,ZINC000455734891
-6.6,ZINC000459438345
-7.3,ZINC000499272521
-6.0,ZINC000551777497
-6.4,ZINC000551777498
-5.9,ZINC000574770409
-6.5,ZINC000575894569
-6.8,ZINC000576449580
-6.5,ZINC000576876357
-6.7,ZINC000576876361
-6.3,ZINC000577128648
-6.8,ZINC000577840006
-6.4,ZINC000577957813
-6.5,ZINC000580397722
-6.3,ZINC000580420896
-6.7,ZINC000581045818
-6.7,ZINC000581698795
-6.3,ZINC000582685214
-6.5,ZINC000582685215
-6.7,ZINC000582685216
-6.0,ZINC000582709104
-6.2,ZINC000582713250
-6.7,ZINC000582895332
-5.6,ZINC000583537081
-6.6,ZINC000592960980
-6.4,ZINC000604968908
-6.5,ZINC000604968909
-6.4,ZINC000605037310
-6.3,ZINC000605037311
-6.3,ZINC000605037369
-6.4,ZINC000605066587
-6.7,ZINC000606413790
-6.6,ZINC000606578916
-6.5,ZINC000612271600
-6.6,ZINC000616986753
-6.9,ZINC000617014800
-7.2,ZINC000617270146
-7.2,ZINC000617270826
-7.1,ZINC000617274058
-6.5,ZINC000617606608
-7.1,ZINC000618563151
-6.5,ZINC000618970555
-6.6,ZINC000620719191
-7.1,ZINC000622184518
-5.2,ZINC000623326516
-6.5,ZINC000623327219
-6.4,ZINC000623686125
-6.4,ZINC000625580066
-6.8,ZINC000625939138
-6.0,ZINC000625939139
-7.0,ZINC000625939140
-6.9,ZINC000625939141
-6.7,ZINC000626242266
-6.4,ZINC000626242267
-5.5,ZINC000626390093
-6.9,ZINC000626440250
-6.7,ZINC000626587105
-6.7,ZINC000626587106
-6.1,ZINC000626588318
-6.6,ZINC000626605931
-6.6,ZINC000626835757
-6.3,ZINC000627951733
-6.9,ZINC000627959263
-7.0,ZINC000627978478
-6.5,ZINC000628049794
-6.4,ZINC000629158927
-6.9,ZINC000629947052
-7.2,ZINC000629947057
-6.1,ZINC000631411108
-6.6,ZINC000631647854
-6.4,ZINC000633214617
-7.0,ZINC000633553659
-6.2,ZINC000636568695
-6.7,ZINC000636634694
-6.3,ZINC000636634696
-6.3,ZINC000636733352
-6.6,ZINC000636733353
-6.5,ZINC000636744024
-6.6,ZINC000636744025
-5.9,ZINC000636852311
-6.2,ZINC000637153005
-6.6,ZINC000639702884
-6.0,ZINC000640348648
-6.6,ZINC000642030540
-6.8,ZINC000642456198
-6.3,ZINC000642456199
-6.0,ZINC000642503776
-5.9,ZINC000643489913
-6.6,ZINC000643756729
-6.4,ZINC000652257624
-6.6,ZINC000652545812
-6.7,ZINC000652546369
-6.7,ZINC000652581910
-6.6,ZINC000652608304
-6.9,ZINC000653494978
-6.7,ZINC000653497850
-6.4,ZINC000653497851
-6.5,ZINC000653926049
-6.6,ZINC000654631570
-6.8,ZINC000654631571
-6.9,ZINC000655790405
-6.5,ZINC000655858849
-6.9,ZINC000656013876
-6.7,ZINC000657574195
-6.2,ZINC000657648093
-6.1,ZINC000657914381
-6.5,ZINC000657961338
-6.8,ZINC000657961342
-6.6,ZINC000658759670
-7.3,ZINC000658759671
-7.5,ZINC000658759672
-6.9,ZINC000658759673
-6.6,ZINC000658761475
-6.7,ZINC000659021766
-6.6,ZINC000659099024
-6.4,ZINC000663404303
-6.5,ZINC000663454957
-6.9,ZINC000664367835
-7.5,ZINC000665249321
-6.8,ZINC000665249322
-6.5,ZINC000665408243
-6.5,ZINC000665437414
-6.3,ZINC000665437415
-7.1,ZINC000665455665
-6.4,ZINC000665847370
-6.0,ZINC000665972032
-6.2,ZINC000666066588
-6.6,ZINC000666092055
-6.8,ZINC000666175313
-6.3,ZINC000666471787
-6.1,ZINC000666471790
-6.5,ZINC000666631307
-6.7,ZINC000666638191
-6.6,ZINC000666663927
-7.1,ZINC000666663932
-6.8,ZINC000666663934
-6.6,ZINC000666934906
-6.7,ZINC000667241822
-6.8,ZINC000667383599
-5.8,ZINC000667384182
-6.9,ZINC000667384225
-6.7,ZINC000667384514
-6.5,ZINC000667384949
-6.5,ZINC000667385485
-7.2,ZINC000667385486
-6.6,ZINC000667385776
-6.5,ZINC000667385821
-6.8,ZINC000667386029
-6.6,ZINC000667386280
-7.5,ZINC000667387665
-6.5,ZINC000667387954
-6.2,ZINC000667387955
-6.2,ZINC000667389164
-6.9,ZINC000667389199
-7.3,ZINC000667389374
-6.9,ZINC000667389375
-7.0,ZINC000667391159
-6.6,ZINC000667391305
-6.7,ZINC000667395055
-6.7,ZINC000667395056
-6.8,ZINC000667395962
-6.5,ZINC000667395963
-6.8,ZINC000667395965
-6.9,ZINC000667398029
-6.6,ZINC000667398030
-6.8,ZINC000667400662
-6.8,ZINC000667400663
-6.6,ZINC000667401637
-6.7,ZINC000667401638
-7.0,ZINC000667405885
-6.6,ZINC000667406360
-6.6,ZINC000667406361
-6.4,ZINC000667406773
-6.3,ZINC000667406774
-6.8,ZINC000667802423
-6.1,ZINC000668065901
-6.4,ZINC000668070818
-6.5,ZINC000669428485
-6.5,ZINC000669428486
-5.8,ZINC000669450348
-6.2,ZINC000669565997
-7.0,ZINC000671225310
-6.7,ZINC000671225311
-6.7,ZINC000671440180
-6.6,ZINC000671456455
-6.9,ZINC000671507589
-6.3,ZINC000671705076
-6.8,ZINC000671817979
-6.7,ZINC000672397106
-6.1,ZINC000672596206
-6.8,ZINC000672664711
-6.9,ZINC000672867191
-5.9,ZINC000673045465
-6.5,ZINC000674003353
-6.7,ZINC000675027826
-6.7,ZINC000675027827
-6.5,ZINC000675049796
-7.0,ZINC000675095287
-7.0,ZINC000675268107
-5.7,ZINC000675663993
-6.0,ZINC000675783898
-7.1,ZINC000676262677
-6.6,ZINC000676323195
-6.5,ZINC000676365379
-6.4,ZINC000676387572
-6.6,ZINC000676774950
-7.0,ZINC000676777390
-5.9,ZINC000676940758
-7.3,ZINC000677878651
-6.3,ZINC000679147328
-6.4,ZINC000679147329
-6.3,ZINC000679149125
-6.4,ZINC000679339304
-6.2,ZINC000679344581
-6.2,ZINC000679446048
-7.2,ZINC000679446079
-6.2,ZINC000679579940
-6.8,ZINC000680018468
-6.6,ZINC000680156243
-6.7,ZINC000680214260
-6.6,ZINC000680214263
-7.3,ZINC000680683405
-6.9,ZINC000680696503
-7.0,ZINC000680696506
-7.4,ZINC000680702189
-6.6,ZINC000680769454
-6.7,ZINC000680769457
-7.1,ZINC000680772091
-7.1,ZINC000680772903
-7.2,ZINC000680772904
-7.0,ZINC000680774067
-7.6,ZINC000680815753
-6.7,ZINC000681000959
-6.8,ZINC000681029299
-6.6,ZINC000681030131
-6.4,ZINC000681217352
-6.5,ZINC000681219481
-6.5,ZINC000681409066
-6.4,ZINC000681409068
-7.3,ZINC000681613022
-7.0,ZINC000681671029
-7.0,ZINC000681671030
-6.3,ZINC000681671424
-6.3,ZINC000681677730
-6.4,ZINC000681677734
-6.5,ZINC000681680246
-6.6,ZINC000681701164
-7.0,ZINC000681701625
-6.9,ZINC000681701626
-6.4,ZINC000681752468
-6.4,ZINC000681753044
-7.1,ZINC000681760109
-6.5,ZINC000681774374
-6.9,ZINC000681776318
-6.6,ZINC000682406519
-6.1,ZINC000682531052
-6.3,ZINC000682878188
-6.4,ZINC000682882224
-5.2,ZINC000682942546
-6.6,ZINC000683003884
-6.3,ZINC000683016468
-6.0,ZINC000683020770
-5.9,ZINC000683165126
-6.3,ZINC000683200340
-5.0,ZINC000683224743
-7.0,ZINC000683276397
-7.0,ZINC000683276398
-5.4,ZINC000683506641
-7.0,ZINC000683507063
-6.5,ZINC000683507212
-5.3,ZINC000683507613
-6.8,ZINC000683508824
-6.4,ZINC000683508997
-6.8,ZINC000683510123
-6.3,ZINC000683510228
-6.8,ZINC000683511006
-5.3,ZINC000683511170
-6.6,ZINC000683511795
-6.3,ZINC000683512559
-6.7,ZINC000683513441
-6.7,ZINC000683515138
-6.5,ZINC000683516077
-6.8,ZINC000683516078
-6.8,ZINC000683529003
-6.5,ZINC000683547399
-6.7,ZINC000683550744
-6.3,ZINC000683551627
-7.3,ZINC000683552873
-6.6,ZINC000683559199
-6.3,ZINC000683560136
-6.2,ZINC000683560311
-5.9,ZINC000683709499
-6.3,ZINC000683709664
-5.5,ZINC000683710523
-6.7,ZINC000683710601
-6.2,ZINC000683710602
-6.8,ZINC000683710691
-6.7,ZINC000683715415
-6.7,ZINC000683742489
-6.5,ZINC000683949664
-6.7,ZINC000684069931
-7.0,ZINC000684210800
-6.8,ZINC000684284823
-6.3,ZINC000684432528
-6.1,ZINC000684432873
-6.6,ZINC000684606064
-6.9,ZINC000684751302
-6.5,ZINC000684777169
-6.8,ZINC000684809097
-7.2,ZINC000684931060
-7.5,ZINC000685404527
-6.8,ZINC000685536041
-6.5,ZINC000685536278
-6.2,ZINC000685536538
-6.9,ZINC000685537739
-6.6,ZINC000685537860
-5.7,ZINC000685539955
-7.2,ZINC000685540617
-6.9,ZINC000685694624
-6.9,ZINC000685694625
-6.8,ZINC000685745503
-5.8,ZINC000685835278
-6.9,ZINC000685835279
-6.7,ZINC000726147874
-6.7,ZINC000726157016
-6.5,ZINC000726158728
-6.6,ZINC000726158861
-6.7,ZINC000726160563
-6.9,ZINC000726764091
-6.4,ZINC000727407621
-6.6,ZINC000728541783
-6.9,ZINC000728836519
-6.6,ZINC000728967030
-6.5,ZINC000729356452
-5.0,ZINC000729412710
-6.9,ZINC000729881958
-6.7,ZINC000729882162
-7.0,ZINC000729882285
-6.5,ZINC000729964819
-6.7,ZINC000730109534
-6.8,ZINC000730390264
-6.8,ZINC000730397246
-6.3,ZINC000731721519
-4.7,ZINC000733860106
-6.8,ZINC000734351164
-6.1,ZINC000734955134
-6.0,ZINC000735257111
-6.8,ZINC000735262761
-6.8,ZINC000735262762
-6.7,ZINC000735331534
-6.8,ZINC000735376212
-6.2,ZINC000735889265
-5.9,ZINC000735889466
-6.5,ZINC000736221911
-6.7,ZINC000736222213
-6.7,ZINC000736233925
-6.4,ZINC000736233927
-6.2,ZINC000736237636
-6.3,ZINC000736237638
-6.9,ZINC000736302146
-6.6,ZINC000736304530
-6.4,ZINC000737201651
-6.5,ZINC000737201652
-6.3,ZINC000737269976
-7.1,ZINC000737372153
-7.2,ZINC000737376681
-6.6,ZINC000737376683
-6.5,ZINC000737640729
-6.6,ZINC000738325094
-6.4,ZINC000738436431
-6.5,ZINC000738436432
-6.5,ZINC000738443577
-6.6,ZINC000739478456
-6.4,ZINC000739481482
-6.0,ZINC000739481483
-6.1,ZINC000740190174
-7.2,ZINC000740199070
-6.3,ZINC000740821220
-6.8,ZINC000741205512
-6.6,ZINC000743128030
-6.7,ZINC000743931225
-5.9,ZINC000743989606
-6.9,ZINC000746031845
-7.0,ZINC000746155036
-7.3,ZINC000746171025
-7.1,ZINC000746805105
-6.6,ZINC000747014779
-6.8,ZINC000747014780
-6.5,ZINC000747565072
-6.4,ZINC000753818964
-6.6,ZINC000757298567
-6.5,ZINC000757795718
-7.1,ZINC000758431100
-6.6,ZINC000758659907
-6.8,ZINC000758814547
-6.6,ZINC000759700517
-7.0,ZINC000760714488
-6.3,ZINC000762841500
-5.9,ZINC000762841520
-6.8,ZINC000767856937
-6.9,ZINC000768128386
-6.6,ZINC000768397237
-6.1,ZINC000768509667
-6.7,ZINC000768790065
-6.9,ZINC000769021958
-7.0,ZINC000769950274
-6.7,ZINC000769950275
-7.1,ZINC000770521616
-7.0,ZINC000770521618
-6.9,ZINC000770853756
-6.8,ZINC000771242079
-7.1,ZINC000771807263
-7.1,ZINC000771807266
-7.1,ZINC000775122286
-6.5,ZINC000775655438
-6.7,ZINC000777536123
-6.7,ZINC000777536124
-6.5,ZINC000777556948
-6.5,ZINC000777694464
-6.4,ZINC000777694466
-6.5,ZINC000779301563
-6.7,ZINC000779301565
-6.8,ZINC000779678513
-5.7,ZINC000779766763
-6.3,ZINC000780717282
-6.8,ZINC000781062989
-6.9,ZINC000782075584
-7.0,ZINC000782075841
-6.9,ZINC000782075842
-6.6,ZINC000782075843
-6.8,ZINC000782079038
-6.6,ZINC000782804510
-7.0,ZINC000785031326
-6.9,ZINC000785061492
-6.6,ZINC000786544263
-6.8,ZINC000787716279
-6.8,ZINC000788239271
-5.8,ZINC000789335640
-7.0,ZINC000789545893
-6.5,ZINC000789548969
-6.8,ZINC000789550006
-6.4,ZINC000789836376
-6.9,ZINC000790576321
-6.3,ZINC000792246417
-6.5,ZINC000792317960
-6.8,ZINC000792319444
-6.9,ZINC000793105828
-6.7,ZINC000793540836
-6.4,ZINC000793633830
-6.8,ZINC000793633831
-6.7,ZINC000794363170
-6.0,ZINC000794390294
-6.9,ZINC000796638992
-6.0,ZINC000796989534
-6.6,ZINC000797348542
-7.5,ZINC000797348636
-6.3,ZINC000797349611
-6.6,ZINC000797351662
-7.0,ZINC000797352626
-6.9,ZINC000797352723
-6.5,ZINC000797767070
-6.5,ZINC000797768108
-6.4,ZINC000802200407
